ID,latitude,longitude
5,36.06162029447294,-79.50229115584699
11,36.49471630792709,-79.73944427630943
12,36.0908847381465,-79.7864573798176
16,36.0896496079839,-80.26817483317859
31,36.35306640686377,-79.66711708639937
79,35.963014156563275,-80.01296601392609
86,36.049263826132304,-79.77036502437296
90,35.80601928126367,-80.28785376319675
93,35.71144461474692,-79.81422804235008
106,36.41967413443691,-80.22864915979146
110,35.87988511734444,-80.11147956417359
123,36.08327139571898,-79.82519253232262
128,36.09147051100749,-80.04366934481136
136,36.04537320166076,-79.96736673638152
142,36.09225706566017,-79.8184553641127
150,36.08917258231186,-79.78894111354838
152,36.147238782372355,-79.73178174532886
